prefetch x20 NTA                                  UserTime: 8.58 e/us  KernelTime: not measured e/us, sum: 0
prefetch x20 W                                    UserTime: 27.54 e/us  KernelTime: not measured e/us, sum: 0
prefetch x22                                      UserTime: 26.98 e/us  KernelTime: not measured e/us, sum: 0
prefetch x22 E                                    UserTime: 27.47 e/us  KernelTime: not measured e/us, sum: 0
prefetch x22 NTA                                  UserTime: 8.86 e/us  KernelTime: not measured e/us, sum: 0
prefetch x22 W                                    UserTime: 27.33 e/us  KernelTime: not measured e/us, sum: 0
prefetch x24                                      UserTime: 27.26 e/us  KernelTime: not measured e/us, sum: 0
prefetch x24 E                                    UserTime: 27.47 e/us  KernelTime: not measured e/us, sum: 0
prefetch x24 NTA                                  UserTime: 8.67 e/us  KernelTime: not measured e/us, sum: 0
prefetch x24 W                                    UserTime: 27.28 e/us  KernelTime: not measured e/us, sum: 0
prefetch x26                                      UserTime: 27.21 e/us  KernelTime: not measured e/us, sum: 0
prefetch x26 E                                    UserTime: 27.41 e/us  KernelTime: not measured e/us, sum: 0
prefetch x26 NTA                                  UserTime: 8.78 e/us  KernelTime: not measured e/us, sum: 0
prefetch x26 W                                    UserTime: 24.44 e/us  KernelTime: not measured e/us, sum: 0
prefetch x28                                      UserTime: 26.77 e/us  KernelTime: not measured e/us, sum: 0
prefetch x28 E                                    UserTime: 27.29 e/us  KernelTime: not measured e/us, sum: 0
prefetch x28 NTA                                  UserTime: 8.85 e/us  KernelTime: not measured e/us, sum: 0
prefetch x28 W                                    UserTime: 27.60 e/us  KernelTime: not measured e/us, sum: 0
prefetch x30                                      UserTime: 27.50 e/us  KernelTime: not measured e/us, sum: 0
prefetch x30 E                                    UserTime: 27.68 e/us  KernelTime: not measured e/us, sum: 0
prefetch x30 NTA                                  UserTime: 8.48 e/us  KernelTime: not measured e/us, sum: 0
prefetch x30 W                                    UserTime: 27.74 e/us  KernelTime: not measured e/us, sum: 0
prefetch x32                                      UserTime: 27.31 e/us  KernelTime: not measured e/us, sum: 0
prefetch x32 E                                    UserTime: 27.64 e/us  KernelTime: not measured e/us, sum: 0
prefetch x32 NTA                                  UserTime: 8.89 e/us  KernelTime: not measured e/us, sum: 0
prefetch x32 W                                    UserTime: 27.62 e/us  KernelTime: not measured e/us, sum: 0
prefetch x34                                      UserTime: 27.16 e/us  KernelTime: not measured e/us, sum: 0
prefetch x34 E                                    UserTime: 27.33 e/us  KernelTime: not measured e/us, sum: 0
prefetch x34 NTA                                  UserTime: 8.75 e/us  KernelTime: not measured e/us, sum: 0
prefetch x34 W                                    UserTime: 27.32 e/us  KernelTime: not measured e/us, sum: 0
prefetch x36                                      UserTime: 27.05 e/us  KernelTime: not measured e/us, sum: 0
prefetch x36 E                                    UserTime: 27.25 e/us  KernelTime: not measured e/us, sum: 0
prefetch x36 NTA                                  UserTime: 8.98 e/us  KernelTime: not measured e/us, sum: 0
prefetch x36 W                                    UserTime: 24.95 e/us  KernelTime: not measured e/us, sum: 0
prefetch x38                                      UserTime: 25.65 e/us  KernelTime: not measured e/us, sum: 0
prefetch x38 E                                    UserTime: 27.10 e/us  KernelTime: not measured e/us, sum: 0
prefetch x38 NTA                                  UserTime: 8.92 e/us  KernelTime: not measured e/us, sum: 0
prefetch x38 W                                    UserTime: 27.23 e/us  KernelTime: not measured e/us, sum: 0
prefetch x40                                      UserTime: 27.07 e/us  KernelTime: not measured e/us, sum: 0
prefetch x40 E                                    UserTime: 27.03 e/us  KernelTime: not measured e/us, sum: 0
prefetch x40 NTA                                  UserTime: 8.59 e/us  KernelTime: not measured e/us, sum: 0
prefetch x40 W                                    UserTime: 27.11 e/us  KernelTime: not measured e/us, sum: 0
prefetch x42                                      UserTime: 25.71 e/us  KernelTime: not measured e/us, sum: 0
prefetch x42 E                                    UserTime: 26.22 e/us  KernelTime: not measured e/us, sum: 0
prefetch x42 NTA                                  UserTime: 8.62 e/us  KernelTime: not measured e/us, sum: 0
prefetch x42 W                                    UserTime: 26.01 e/us  KernelTime: not measured e/us, sum: 0
prefetch x44                                      UserTime: 26.12 e/us  KernelTime: not measured e/us, sum: 0
prefetch x44 E                                    UserTime: 26.21 e/us  KernelTime: not measured e/us, sum: 0
prefetch x44 NTA                                  UserTime: 8.44 e/us  KernelTime: not measured e/us, sum: 0
prefetch x44 W                                    UserTime: 26.10 e/us  KernelTime: not measured e/us, sum: 0
prefetch x46                                      UserTime: 25.59 e/us  KernelTime: not measured e/us, sum: 0
prefetch x46 E                                    UserTime: 26.11 e/us  KernelTime: not measured e/us, sum: 0
prefetch x46 NTA                                  UserTime: 8.62 e/us  KernelTime: not measured e/us, sum: 0
prefetch x46 W                                    UserTime: 24.04 e/us  KernelTime: not measured e/us, sum: 0
prefetch x48                                      UserTime: 26.01 e/us  KernelTime: not measured e/us, sum: 0
prefetch x48 E                                    UserTime: 26.21 e/us  KernelTime: not measured e/us, sum: 0
prefetch x48 NTA                                  UserTime: 8.44 e/us  KernelTime: not measured e/us, sum: 0
prefetch x48 W                                    UserTime: 26.16 e/us  KernelTime: not measured e/us, sum: 0
prefetch x50                                      UserTime: 24.86 e/us  KernelTime: not measured e/us, sum: 0
prefetch x50 E                                    UserTime: 24.75 e/us  KernelTime: not measured e/us, sum: 0
prefetch x50 NTA                                  UserTime: 7.81 e/us  KernelTime: not measured e/us, sum: 0
prefetch x50 W                                    UserTime: 24.72 e/us  KernelTime: not measured e/us, sum: 0
